generation,best_train_auc,best_val_auc,elapsed_s
0,0.764792,0.805195,0.0056
1,0.764792,0.805195,0.0047
2,0.785707,0.733766,0.0049
3,0.808513,0.758117,0.0051
4,0.814714,0.725649,0.0056
5,0.82144,0.751623,0.0067
6,0.823752,0.751623,0.0095
7,0.825328,0.681818,0.0087
8,0.834262,0.663961,0.0089
9,0.834262,0.663961,0.0093
10,0.836048,0.714286,0.007
11,0.836048,0.714286,0.0067
12,0.836048,0.714286,0.0077
13,0.840778,0.696429,0.0076
14,0.841303,0.712662,0.0076
15,0.84288,0.737013,0.0092
16,0.843405,0.672078,0.008
17,0.844666,0.662338,0.0096
18,0.846033,0.707792,0.008
19,0.846033,0.707792,0.0081
20,0.848029,0.701299,0.0081
21,0.848765,0.650974,0.008
22,0.852233,0.652597,0.006
23,0.852233,0.652597,0.0085
24,0.85381,0.678571,0.0085
25,0.85381,0.678571,0.0057
26,0.85381,0.678571,0.0085
27,0.854335,0.732143,0.0092
28,0.854335,0.732143,0.007
29,0.856227,0.650974,0.0064
30,0.856227,0.650974,0.0067
31,0.856227,0.650974,0.0064
32,0.856227,0.650974,0.0083
33,0.857593,0.738636,0.0084
34,0.857593,0.738636,0.0087
35,0.857593,0.738636,0.008
36,0.862533,0.652597,0.0076
37,0.862533,0.652597,0.008
38,0.862533,0.652597,0.0086
39,0.862533,0.652597,0.0083
40,0.862533,0.652597,0.0086
41,0.862533,0.652597,0.0097
42,0.862533,0.652597,0.0096
43,0.862533,0.652597,0.0084
44,0.863374,0.667208,0.0084
45,0.86453,0.655844,0.0076
46,0.865055,0.686688,0.0073
47,0.86516,0.672078,0.0073
48,0.867367,0.668831,0.0091
49,0.867367,0.668831,0.0089
50,0.867367,0.668831,0.0083
51,0.867367,0.668831,0.0086
52,0.867367,0.668831,0.0095
53,0.867367,0.668831,0.0089
54,0.867367,0.668831,0.0093
55,0.867367,0.668831,0.0085
56,0.870836,0.676948,0.0076
57,0.870836,0.676948,0.0096
58,0.874619,0.685065,0.0092
59,0.874619,0.685065,0.0077
60,0.874619,0.685065,0.0077
61,0.874619,0.685065,0.0091
62,0.874619,0.685065,0.0094
63,0.875985,0.689935,0.0129
64,0.875985,0.689935,0.0104
65,0.875985,0.689935,0.008
66,0.875985,0.689935,0.0078
67,0.875985,0.689935,0.008
68,0.875985,0.689935,0.0082
69,0.875985,0.689935,0.0081
70,0.875985,0.689935,0.0077
71,0.875985,0.689935,0.0078
72,0.875985,0.689935,0.0085
73,0.875985,0.689935,0.0084
74,0.875985,0.689935,0.0084
75,0.875985,0.689935,0.0083
76,0.875985,0.689935,0.0089
77,0.875985,0.689935,0.0079
78,0.875985,0.689935,0.0064
79,0.875985,0.689935,0.0078
80,0.87609,0.657468,0.0083
81,0.876826,0.662338,0.0084
82,0.878043,0.683442,0.0065
83,0.879874,0.678571,0.0066
84,0.879874,0.678571,0.0066
85,0.88124,0.659091,0.0076
86,0.881661,0.646104,0.0082
87,0.881661,0.646104,0.0083
88,0.881661,0.646104,0.0074
89,0.884393,0.657468,0.008
90,0.884393,0.657468,0.0072
91,0.888807,0.646104,0.0083
92,0.888807,0.646104,0.0081
93,0.888807,0.646104,0.0082
94,0.888807,0.646104,0.0079
95,0.888807,0.646104,0.0085
96,0.888807,0.646104,0.0078
97,0.888807,0.646104,0.0085
98,0.888807,0.646104,0.0079
99,0.888807,0.646104,0.0079
100,0.888807,0.646104,0.0083
101,0.888807,0.646104,0.0077
102,0.888807,0.646104,0.0073
103,0.888807,0.646104,0.0083
104,0.888912,0.680195,0.0102
105,0.888912,0.680195,0.01
106,0.895744,0.675325,0.0076
107,0.895744,0.675325,0.0078
108,0.895744,0.675325,0.0079
109,0.895744,0.675325,0.0078
110,0.895744,0.675325,0.008
111,0.895744,0.675325,0.0082
112,0.895744,0.675325,0.0081
113,0.895744,0.675325,0.0075
114,0.895744,0.675325,0.0076
115,0.898371,0.688312,0.0079
116,0.898371,0.688312,0.0084
117,0.898371,0.688312,0.0089
118,0.898371,0.688312,0.0083
119,0.898371,0.688312,0.0072
120,0.898371,0.688312,0.0085
121,0.898371,0.688312,0.0075
122,0.898371,0.688312,0.0073
123,0.898371,0.688312,0.0081
124,0.898371,0.688312,0.0076
125,0.898686,0.707792,0.0076
126,0.898686,0.707792,0.0087
127,0.898686,0.707792,0.0075
128,0.898686,0.707792,0.0079
129,0.898686,0.707792,0.0071
130,0.898686,0.707792,0.0053
131,0.898686,0.707792,0.0066
132,0.898686,0.707792,0.007
133,0.898686,0.707792,0.0083
134,0.898686,0.707792,0.0079
135,0.898686,0.707792,0.0063
136,0.898686,0.707792,0.0085
137,0.898686,0.707792,0.0088
138,0.898686,0.707792,0.0096
139,0.898686,0.707792,0.0097
140,0.898686,0.707792,0.0098
141,0.898686,0.707792,0.0116
142,0.898686,0.707792,0.0089
143,0.898686,0.707792,0.0063
144,0.898686,0.707792,0.0052
145,0.898686,0.707792,0.0086
146,0.898686,0.707792,0.0055
147,0.898686,0.707792,0.0054
148,0.898686,0.707792,0.0062
149,0.898686,0.707792,0.0063
150,0.898686,0.707792,0.0073
151,0.898686,0.707792,0.0083
152,0.898686,0.707792,0.0088
153,0.898686,0.707792,0.0087
154,0.898686,0.707792,0.0087
155,0.898686,0.707792,0.0092
156,0.898686,0.707792,0.0089
157,0.898686,0.707792,0.0112
158,0.898686,0.707792,0.0111
159,0.898686,0.707792,0.0111
160,0.898686,0.707792,0.0113
161,0.898686,0.707792,0.0105
162,0.898686,0.707792,0.0126
163,0.898686,0.707792,0.0123
164,0.898686,0.707792,0.012
165,0.898686,0.707792,0.0109
166,0.898686,0.707792,0.01
167,0.898686,0.707792,0.0101
168,0.898686,0.707792,0.0099
169,0.898686,0.707792,0.0088
170,0.898686,0.707792,0.0096
171,0.901944,0.719156,0.01
172,0.901944,0.719156,0.0084
173,0.901944,0.719156,0.0076
174,0.901944,0.719156,0.0083
175,0.901944,0.719156,0.0082
176,0.901944,0.719156,0.0079
177,0.901944,0.719156,0.0074
178,0.901944,0.719156,0.0081
179,0.901944,0.719156,0.0092
180,0.901944,0.719156,0.0083
181,0.901944,0.719156,0.0101
182,0.901944,0.719156,0.0093
183,0.901944,0.719156,0.0089
184,0.901944,0.719156,0.0062
185,0.901944,0.719156,0.0071
186,0.901944,0.719156,0.0105
187,0.901944,0.719156,0.0092
188,0.901944,0.719156,0.0081
189,0.901944,0.719156,0.0075
190,0.901944,0.719156,0.0078
191,0.901944,0.719156,0.0087
192,0.901944,0.719156,0.0087
193,0.901944,0.719156,0.0085
194,0.901944,0.719156,0.01
195,0.901944,0.719156,0.0102
196,0.901944,0.719156,0.0099
197,0.901944,0.719156,0.0073
198,0.901944,0.719156,0.0069
199,0.901944,0.719156,0.008
