gene_id,p_value,auc_single,neg_log10_p
CD44,8.500974310504807e-07,0.7205465055176038,6.0705312962355045
REPS2,4.472446802225609e-06,0.534944823962165,5.349454816470431
SRRM1,7.303152881300367e-06,0.7008933263268524,5.136489607915283
CD27,7.465602732461199e-06,0.7006831318970047,5.126935123931588
SLC19A2,1.5994478522988913e-05,0.6931161324224908,4.796029914897177
SLC35E3,3.304236618031568e-05,0.6859695218076721,4.480928860193687
MNAT1,3.314771964895536e-05,0.6848134524435102,4.479546342913488
SURF2,3.549711808783085e-05,0.6852338413032054,4.449806904673298
SURF2_1,3.549711808783085e-05,0.6852338413032054,4.449806904673298
NTM,3.786133014977647e-05,0.5879138202837625,4.421804132407077
DEF6,3.810371446548735e-05,0.6855491329479768,4.419032685919305
ABCC5,4.052046108859326e-05,0.683867577509196,4.392325621379566
RMND5B,5.059685483236872e-05,0.6815554387808723,4.295876478642414
CXCR4,5.319676812878466e-05,0.6810299527062533,4.27411475166116
CINP,5.3729379213169716e-05,0.6809248554913295,4.2697881772212245
ATP9A,5.648381469283701e-05,0.6803993694167104,4.248075980438821
CDK5RAP1,5.648381469283701e-05,0.6803993694167104,4.248075980438821
COASY,6.364366829049013e-05,0.6791382028376248,4.196244796460953
VTCN1,9.509464038984371e-05,0.6758801891749868,4.021843959557947
BNIP1,0.00010576712993992726,0.6456121912769311,3.975649280350923
EEF1A2,0.00011698457980226543,0.6228060956384656,3.931871380545628
FKBP1B,0.00011739466881433006,0.6052548607461902,3.9303516250397634
PLAT,0.0001257617091638621,0.6717813977929585,3.900451568987635
TAF4,0.00013392134291401915,0.5119285338938518,3.8731502043834913
TAF4_1,0.00013392134291401915,0.5119285338938518,3.8731502043834913
ZCCHC8,0.0001383293203216589,0.6707304256437204,3.8590857569529144
TMEM106C,0.0001409797422570235,0.6705202312138728,3.850843287756332
UBFD1,0.0001435551861498051,0.6703100367840252,3.84298111333426
ITGA6,0.00015063774645259346,0.6697845507094062,3.8220661900076163
GUSBP11,0.00015940600390664333,0.6691539674198634,3.7974953252584736
